gilbert o'sullivan,0.8018858202802968,0.6831732882948895,0.0011163221816890096,0.052137055632941506,0.3170624515079817
kate bush,0.5079749473298525,0.31957056338718703,0.02118792434830403,0.1938111845543125,0.13589159404374193
big black,0.2407769991755977,0.9294272253547857,0.0028325047693841714,0.08607827124319194,0.1108503598803526
dead moon,0.5675684470863885,0.7379402903431913,0.020363209744365392,0.22982644209152703,0.06639002531006306
lagwagon,0.6341714756801319,0.965297548165001,0.0014460586755567645,0.19476412941906973,0.21704362210173692
ghantasala,0.7133729831586385,0.45872755413954286,0.025466640918608955,0.2595981765956505,0.0983270159306593
herman's hermits,0.7389392690299532,0.5812348360295804,0.019271601758504824,0.0011426488887376482,0.27633859655228915
television,0.618255931116607,0.6609837397657797,0.022918993736295006,0.16741034320428871,0.19699522436290928
al b. sure!,0.39767106347897774,0.25473147910124916,0.08217353516196357,0.14622369159319418,0.0672682331615915
billy swan,0.2631904369332234,0.2662433501426671,0.16554725932677078,0.0012836971156084003,0.23498458592493957
stephen bishop,0.31085119538334705,0.29572375033134163,0.0013848315253871526,0.08163543646721584,0.07695271786712356
eddie money,0.610090250357964,0.6509031692428601,0.021817667888554132,0.025240488475650493,0.16041584984004015
mike & the mechanics,0.5744023083264633,0.453436383598767,0.0578621116234722,0.04468718120150001,0.11874004502596958
the del-vikings,0.6913643858202803,0.5365220615498703,0.1823024678689388,0.0010736756454608858,0.023917697928868425
the cyrkle,0.648598516075845,0.1331060589680078,0.0013850415570129484,0.0013850415868443403,0.10395674501657243
jackie deshannon,0.42394888705688377,0.5235086421117456,8.628127751237227E-4,8.628127907127475E-4,0.4024726909642915
suicide,0.044620774938169815,0.11008231688517198,0.00478468986084368,0.4853959447398682,0.0047846896228807756
agnetha fältskog,0.24670239076669417,0.3613414152674237,0.0012531328440094248,0.0012531329015071655,0.06495381302285089
the black crowes,0.5238252267106349,0.7328244886126571,0.032011513208273445,0.21778696792956417,0.13904964698157035
sister sledge,0.8902514427040396,0.8538492893872159,0.017753966863019586,0.02090898673875698,0.2322280534980296
erasure,0.6602431986809563,0.7199111724009798,0.004959376809156314,0.1002713857515631,0.17010041630814965
paula abdul,0.843363561417972,0.8047987084281311,0.1044797852654353,0.06147001502399886,0.13093882420140146
al hirt,0.6388087386644683,0.49598025483878966,0.0014912281010876559,0.11744044946735907,0.04178674863958748
k.d. lang,0.33120362737015663,0.3676336180726708,0.0025974450539040903,0.05295847073577111,0.04449707767041108
tom petty,0.5793170143953325,0.5540016249371735,0.07258779821978541,0.08946179187964802,0.20221009414612973
jonah jones,0.6403544929925803,0.5415272228722259,0.006578947399115149,0.0065789473769567374,0.006578947735211489
the shirelles,0.6593615462123295,0.47545909341713166,0.026885304914501126,0.08205863753390628,0.022037224786881457
labi siffre,0.4234336356141797,0.40363502844132865,0.0019034809407269524,0.0019034809461396724,0.08879891085726933
graham parker & the rumour,0.4723825226710635,0.5715581908063595,7.855459568264168E-4,0.5017586241297907,7.855459954438674E-4
ian hunter,0.9855729596042868,0.8588544507095716,0.015686496648384937,0.08471780828641017,0.05262175722727116
johnny clegg,0.9649629018961252,0.8818781927924073,0.0018796992606949484,0.05391596543891345,0.312262835363714
ace of base,0.7757625721352019,0.880676954075042,0.0024753182104785905,0.003499863161345547,0.2261911502085301
"dave dee, dozy, beaky, mick & tich",0.7093981863149216,0.8763725153378163,0.0010303826133432213,0.21533705709903908,0.019162822204193165
the babys,0.40677383896674907,0.7604196113699112,0.06537177101568094,0.02111403944598642,0.10671785459509803
christopher cross,0.5119832764103168,0.4434260609540558,0.0016057528282243795,0.03020282774388539,0.09652190256539914
stereolab,0.5476092333058532,0.6506397396995781,0.001416481654164996,0.07559850564058392,0.5481562995253557
scarface,0.6826051112943115,0.8688647733542828,4.768889220941401E-4,0.09776933752824082,0.07816545737822289
x,0.7217642209398186,0.7907008373701627,0.028665255871902762,0.17580588580612258,0.08927808659173299
propaganda,0.6238664468260511,0.6936841270718365,9.404141304627707E-4,0.3742367620277065,0.054753464339727706
raekwon,0.7421681780708985,0.7927863212544775,0.012577293325041108,0.02661251926258773,0.050687427699198116
blessid union of souls,0.22093981863149217,0.45844154492112255,9.233610424444227E-4,0.03129476232174697,0.582410557226286
harry belafonte,0.6097142071997802,0.2854631696205126,0.01693760695904946,0.09991105355118392,0.1029598283838784
the soft boys,0.5523753091508655,0.7932868373867131,0.03789363259290247,0.2473181914958653,0.09062916745788038
steve winwood,0.7369641384995878,0.6641536752699383,0.00125599627812327,0.001255996370473127,0.2266916796269327
loverboy,0.7020129156361637,0.7292207724605614,0.0520702214531193,0.09200839587513042,0.08416448742305183
everything but the girl,0.312242374278648,0.362542653984789,0.019362165668334128,0.10144577901217963,0.0010983760314732974
dj quik,0.5218466611706513,0.5585447713682348,0.01659181995864089,4.3497176312167895E-4,4.349717711200475E-4
local h,0.5244229183841714,0.7162073530224367,0.0011762360663355258,0.24752156239632328,0.1719611148140592
ultravox,0.7392827699917559,0.758417546840969,0.0011211349136602015,0.343750163830496,0.0987861294966335
the go-betweens,0.7351607584501235,0.6366252879969825,0.0792103583369416,0.02950424790244734,0.020905321509073958
the offspring,0.6703535769900155,0.8912211605941379,0.012133384541539272,0.11490719325543625,0.20537102262887147
naughty by nature,0.6368507831821929,0.6904808238255289,0.0036654127901405023,0.06240588722666829,0.05286941754958362
eden ahbez,0.24464138499587798,0.0580286391326736,0.0015037594802515698,0.001503759440559599,0.6010035228451825
the mamas & the papas,0.5986927334825108,0.533804973974877,0.010217781322526914,0.034743583359911345,0.06162610640059712
